, 29_11.6_p1, 29_11.6_p2, 29_11.6_p3, 29_11.6_r1, 29_11.6_r2, 29_11.6_r3, 29_5.5_p1, 29_5.5_p2, 29_5.5_p3, 29_5.5_r1, 29_5.5_r2, 30_15.5_p1, 30_15.5_p2, 30_15.5_p3, 30_15.5_r1, 30_15.5_r2, 30_15.5_r3, 30_5_p1, 30_5_p2, 30_5_p3, 30_5_r1, 30_5_r2, 30_5_r3, 30_b_p1, 32_45_r2, 32_15_p1, 32_15_p2, 32_15_p3, 32_15_r1, 32_15_r2, 32_15_r3, 32_45_p1, 32_45_p2, 32_45_p3, 32_45_r1, 32_45_r2, 32_45_r3, md_p1, md_p2, md_p3, md_r1, md_r2, md_r3
Aromandendrene,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Octanoic acid, hexyl est",0.09,0.28,0.07,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.16,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.12,0.0,0.0,0.0,0.04,0.03,0.0,0.0,0.0,0.0,0.58,0.21,0.45,0.0,0.0,0.0
"5,9-Undecadien-2-one, 6,",0.05,0.0,0.0,0.03,0.0,0.04,0.06,0.0,0.29,0.16,0.16,0.66,0.08,0.11,0.03,0.0,0.04,0.05,0.07,0.07,0.04,0.06,0.05,0.02,0.02,0.06,0.06,0.06,0.03,0.03,0.02,0.01,0.0,0.0,0.02,0.02,0.02,0.09,0.03,0.06,0.05,0.05,0.03
Butyl benzoate,0.13,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1,3-Cyclopentadiene, 1,3",0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
"Tricyclo[3.1.0.0(2,4)]he",0.23,0.24,0.08,0.0,0.0,0.0,0.12,0.29,0.36,0.0,0.0,0.3,0.14,0.15,0.0,0.0,0.0,0.17,0.29,0.27,0.0,0.0,0.0,0.03,0.0,0.11,0.15,0.16,0.0,0.0,0.0,0.03,0.06,0.0,0.0,0.0,0.0,0.06,0.19,0.06,0.0,0.0,0.0
5-Hydroxymethylfurfural,0.89,0.0,0.68,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,2.74,4.93,1.96,1.69,0.84,1.17,0.0,0.0,0.12,12.43,0.0,0.0,0.15,0.0,0.14,0.0,0.0,0.0,0.0,3.28,0.0,0.81,0.74,0.0,0.0,0.0
"Carbamic acid, monoammon",0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.82,0.0,0.17,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.17,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
3-Hexenal,0.0,1.29,0.1,0.0,0.17,0.03,0.51,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acetic acid,0.0,0.24,0.0,0.08,0.29,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,1.91,0.05,0.21,0.0,0.0,0.21,0.44,0.1,0.57,0.0,0.0,0.0,0.06,0.1,0.0,0.0,0.21,0.03,0.0,0.0,0.0,0.0,0.0,0.0
Furfural,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.07,0.0,0.79,0.11,2.03,0.05,0.2,0.03,0.0,0.26,0.73,0.16,0.52,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.05,0.16,0.0,0.0,0.0,0.0,0.0
"2-Pentene, 1-ethoxy-4-me",0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.25,0.0,0.0,0.0,0.0,0.07,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bicyclo[7.2.0]undec-4-en,0.0,0.19,0.07,0.0,0.0,0.0,0.43,0.8,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.15,0.38,0.0,0.0,0.0
1-Penten-3-one,0.0,0.0,0.03,0.0,0.0,0.0,0.13,0.31,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2-Butenoic acid, 3-methy",0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Butanoic acid, 2-methylb",0.0,0.0,0.03,0.0,0.0,0.0,0.62,0.95,1.88,0.0,0.0,0.56,0.23,0.28,0.0,0.0,0.0,0.13,0.17,0.22,0.0,0.0,0.0,0.09,0.0,0.14,0.14,0.26,0.0,0.0,0.01,0.12,0.13,0.33,0.0,0.0,0.0,0.27,0.08,0.2,0.0,0.0,0.0
1-Octen-3-one,0.0,0.0,0.03,0.0,0.0,0.06,0.22,0.54,0.76,0.0,0.0,0.55,0.21,0.33,0.0,0.0,0.0,0.05,0.12,0.13,0.0,0.01,0.02,0.04,0.01,0.07,0.22,0.11,0.0,0.0,0.0,0.09,0.0,0.27,0.0,0.01,0.0,0.11,0.0,0.11,0.0,0.0,0.01
"Propanoic acid, 2-methyl",0.0,0.0,0.06,0.03,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.34,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-Nonen-1-ol,0.0,0.0,0.09,0.0,0.0,0.0,0.79,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.24,0.07,0.19,0.0,0.0,0.0
"Butanoic acid, 3-hexenyl",0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2-Decenal, (E)-",0.0,0.0,0.03,0.0,0.05,0.23,0.27,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.02,0.0,0.0,0.17,0.0,0.19,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
.gamma.-Muurolene,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Supraene,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hexanoic acid, 2-oxo-, m",0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon dioxide,0.0,0.0,0.0,0.14,0.25,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.04,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.2,0.0,0.64,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.07,0.0
"Propane, 2-methoxy-2-met",0.0,0.0,0.0,0.04,0.07,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cyclotrisiloxane, hexame",0.0,0.0,0.0,0.11,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cyclotetrasiloxane, octa",0.0,0.0,0.0,0.12,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tridecane,0.0,0.0,0.0,0.02,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethylbenzene,0.0,0.0,0.0,0.07,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Benzene, 1,3-dimethyl-",0.0,0.0,0.0,0.04,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
